Name,Old Price (PKR),Regular Price (PKR),Special Price (PKR),Discount %,Brand Name
U9 Fast Data Charging Cable For Samsung  Phones - White,Rs.  350,,Rs.  200,-43%,Samsung Access...
Samsung J5 Max Stereo Earphones,Rs.  450,Rs.  350,Rs.  299,-34%,Samsung
Samsung S8 AKG handsfree-MATT,Rs.  599,Rs.  200,Rs.  509,-15%,MY
Samsung J5 Prime Stereo Earphones,Rs.  450,Rs.  775,Rs.  299,-34%,Samsung
"Fast Charging Cable + Data Cable for Samsung, Huawei, Nokia, Oppo, Sony, Xiaomi & other ANDROID Smartphones",Rs.  880,Rs.  350,Rs.  555,-37%,Buroodi
Samsung S8 Stereo Earphones,"Rs.  4,000",Rs.  775,"Rs.  3,500",-12%,Samsung
Original AKG Earphones for samsung s9,"Rs.  1,209",Rs.  99,Rs.  549,-55%,Samsung
Samsung J5 Pro Stereo Earphones,"Rs.  2,500",Rs.  775,"Rs.  1,450",-42%,Samsung
AUX Cable for Samsung & iPhone-Blue,"Rs.  3,795",Rs.  999,"Rs.  3,036",-20%,JD Brand
Samsung A710 Stereo Earphones,Rs.  450,Rs.  775,Rs.  299,-34%,Samsung
Samsung Note 8 skin wrap final Phone skin Front Back & Sides-Skin18,Rs.  900,Rs.  450,Rs.  499,-45%,SkinZone
Black Original Wireless Bluetooth Handfree Wireless Bluetooth Headset Good Quality Bluetooth Handsfree,Rs.  499,Rs.  299,Rs.  424,-15%,Buroodi
Samsung S6 Edge + Stereo Earphones,Rs.  499,Rs.  775,Rs.  149,-70%,Samsung
"Red Bluetooth Headphone, Bluetooth Handsfree, Wireless Bluetooth Handfree, Bluetooth Earphone, Metal Magnetic Running Stereo Super Bass Headphone For All Phones","Rs.  22,999",Rs.  599,"Rs.  22,250",-3%,Buroodi
Samsung Original AKG Earphones for samsung mobile,Rs.  499,Rs.  509,Rs.  299,-40%,Buroodi
"Aux Cable for Samsung & iphone 5, 6 & 6S-Red","Rs.  1,299",Rs.  399,Rs.  750,-42%,JD Brand
Samsung J7 Pro Stereo Earphones,"Rs.  1,500",Rs.  775,Rs.  999,-33%,Samsung
SAMSUNG LEVEL U PRO BLUETOOTH WIRELESS IN-EAR HEADPHONES WITH MICROPHONE  BRONZE,0,Rs.  330,0,0,Samsung Official
Samsung A320 Stereo Earphones,0,Rs.  160,0,0,Samsung
Coffee iPhone & Samsung Leather Case Mobile Cover,0,Rs.  450,0,0,Charji Shop
FLOVEME Qi Wireless Charger For Samsung Galaxy S8 S7 S10 Note 8 9 Wireless Charging Dock For iPhone X 8 XS MAX USB Charger,0,Rs.  299,0,0,Mobile Accesso...
Samsung Grand Prime Pro Stereo Earphones,0,Rs.  775,0,0,Samsung
smartphone charging cable-1 M-white-USB 2.0-fast charging -Dimension(HxWxD) 1.80 x 6.85 x 11.90 mm,0,"Rs.  7,450",0,0,Samsung
iPaky Shockproof Fall Resistance Anti Knock Phone Case Samsung Galaxy Note 9 - Black,0,Rs.  775,0,0,iPaky
Samsung J7 Prime Stereo Earphones,0,Rs.  880,0,0,Samsung
Woofer Handfree For Samsung-S8-S8 Plus- Titanium Grey,0,Rs.  555,0,0,AKG
Samsung S7 Stereo Earphones,0,"Rs.  4,000",0,0,Samsung
Samsung Galaxy S8 Cute Soft Tpu Silicone 3D Squishy Cat Fundas Phone Case,0,"Rs.  3,500",0,0,Charji Shop
AKG Earphone for Samsung Galaxy S8/S8 Plus -  Black,0,Rs.  775,0,0,AKG
Samsung Grand Prime Plus Stereo Earphones,0,Rs.  450,0,0,Samsung
Samsung A310 Stereo Earphones,0,"Rs.  1,209",0,0,Samsung
Leather Phone Pouch For Samsung Galaxy Note 5 - Brown,0,Rs.  549,0,0,Mobicity
Samsung C9 Pro Stereo Earphones,0,Rs.  775,0,0,Samsung
Black Woofer Ear hook Headphone Headphone Handfree Microphone handfree headphone,0,"Rs.  2,500",0,0,Buroodi
Samsung J510 Stereo Earphones,0,"Rs.  1,450",0,0,Samsung
Original AKG Earphones for samsung s8 plus,0,Rs.  775,0,0,Samsung
Samsung C5 Pro Stereo Earphones,0,Rs.  770,0,0,Samsung
Aux Cable for Samsung & iPhone-Black,0,Rs.  550,0,0,JD Brand
Samsung C9 Stereo Earphones,0,Rs.  775,0,0,Samsung
35W 6 Port USB Desktop Mobile High Speed Charging For iPhone Samsung Tablet,0,Rs.  775,0,0,MY
iPaky Shockproof Fall Resistance Anti Knock Phone Case Samsung Galaxy Note 9-Black,0,"Rs.  3,795",0,0,MISC Mobiles
Samsung S6 Edge Stereo Earphones,0,"Rs.  3,036",0,0,Otterbox
"Magnetic M5 Sports, Bluetooth Headphone, Bluetooth Handsfree, Wireless Bluetooth Handfree, Bluetooth Earphone, Metal Magnetic Running Stereo Super Bass Headphone For All Phones",0,Rs.  775,0,0,Buroodi
Samsung C5 Stereo Earphones,0,Rs.  250,0,0,Samsung
GIONEE F103 Super Bass In Ear Earphone for Samsung,0,Rs.  775,0,0,Samsung
SAMSUNG LEVEL U PRO BLUETOOTH WIRELESS IN-EAR HEADPHONES WITH MICROPHONE  BLUE,0,Rs.  999,0,0,Samsung
Samsung A720 Stereo Earphones,0,Rs.  775,0,0,Samsung
Samsung Note 8 Traditional camouflage only Back Phone Skin & Decal-Skin1,0,Rs.  450,0,0,SkinZone
"Bluetooth Wireless Stereo In-Ear Sports Handfree, Neck Band",0,Rs.  299,0,0,Buroodi
Samsung S7 Edge Stereo Earphones,0,Rs.  775,0,0,Samsung
Magnetic Wireless Sports Handsfree Earphone Headset Headphones In-Ear Stereo Earphones Hand Free For iPhone Samsung,0,"Rs.  4,500",0,0,Buroodi
